E-posta Adresi,Şifre,Hesap Türü
example1@mail.com,password1!,Öğrenci
example2@mail.com,password2!,Öğrenci
example3@mail.com,password3!,Mezun
example4@mail.com,password4!,Mezun
example5@mail.com,password5!,Mezun
example6@mail.com,password6!,Öğrenci
example7@mail.com,password7!,Mezun
example8@mail.com,password8!,Öğrenci
example9@mail.com,password9!,Öğrenci
example10@mail.com,password10!,Öğrenci
example11@mail.com,password11!,Öğrenci
example12@mail.com,password12!,Mezun
example13@mail.com,password13!,Mezun
example14@mail.com,password14!,Öğrenci
example15@mail.com,password15!,Mezun
example16@mail.com,password16!,Mezun
example17@mail.com,password17!,Öğrenci
example18@mail.com,password18!,Mezun
example19@mail.com,password19!,Mezun
example20@mail.com,password20!,Mezun
